                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                0.55316,                0.34832,                0.84575,                0.99325,                0.98051,                0.98766,                0.88797,                0.45528,                0.27675,                0.81423,              0.0077065,              0.0077065,              0.0077065
                    141,                0.54274,                0.33754,                0.84648,                0.99156,                0.98434,                0.98722,                 0.8957,                0.43542,                0.27305,                 0.8089,                0.00769,                0.00769,                0.00769
                    142,                 0.5453,                0.34368,                0.84819,                0.99416,                0.98384,                0.98683,                0.89308,                0.44967,                0.27724,                0.81259,              0.0076735,              0.0076735,              0.0076735
                    143,                0.55188,                0.34177,                0.84944,                0.99332,                 0.9826,                0.98687,                 0.8926,                0.43778,                 0.2761,                0.81134,               0.007657,               0.007657,               0.007657
                    144,                0.54237,                0.33963,                0.84596,                0.99236,                0.98224,                0.98828,                0.89404,                0.43467,                0.27628,                0.81087,              0.0076405,              0.0076405,              0.0076405
                    145,                0.54054,                0.33808,                0.84672,                0.99582,                0.98457,                0.98793,                0.90087,                 0.4421,                0.27411,                0.81059,               0.007624,               0.007624,               0.007624
                    146,                0.54157,                0.33816,                0.84707,                0.99445,                 0.9808,                0.98748,                 0.8947,                0.44375,                0.27291,                0.81206,              0.0076075,              0.0076075,              0.0076075
                    147,                0.54046,                0.33428,                0.84603,                0.99396,                0.98676,                0.98725,                0.89513,                0.44218,                0.26948,                0.81258,               0.007591,               0.007591,               0.007591
                    148,                0.53426,                0.33434,                0.84527,                0.99241,                0.97912,                0.98711,                0.89649,                0.43764,                0.27006,                0.80971,              0.0075745,              0.0075745,              0.0075745
                    149,                0.53884,                0.33696,                0.84555,                0.99088,                0.97481,                0.98647,                0.88905,                0.45381,                0.27341,                0.81738,               0.007558,               0.007558,               0.007558
                    150,                0.54031,                0.33896,                0.84451,                0.98948,                0.98535,                0.98725,                 0.8942,                0.45246,                0.27261,                0.81461,              0.0075415,              0.0075415,              0.0075415
                    151,                0.53882,                0.33899,                0.84419,                0.99059,                0.98406,                0.98745,                0.89286,                0.43905,                0.27267,                0.81197,               0.007525,               0.007525,               0.007525
                    152,                0.53435,                0.33263,                0.84727,                0.99321,                0.98581,                0.98774,                0.90223,                0.43059,                0.26693,                0.81036,              0.0075085,              0.0075085,              0.0075085
                    153,                0.52647,                0.32856,                0.84168,                0.99275,                0.98459,                0.98727,                 0.9002,                0.43842,                0.26217,                0.81134,               0.007492,               0.007492,               0.007492
                    154,                0.53344,                0.32962,                0.84152,                0.99465,                0.97549,                 0.9862,                0.89615,                0.43261,                0.26965,                0.81069,              0.0074755,              0.0074755,              0.0074755
